f-c20g-c~tran,http://www.c-tran.com/images/Google/GoogleTransitUpload.zip,US,US-WA,Vancouver,C-TRAN,o-c20g-c~tran,c-tran,,,,,,
f-9qbb-marintransit,http://www.marintransit.org/data/google_transit.zip,US,US-CA,Marin County,Marin County Transit District,o-9qbb-marintransit,marin-transit,,,,,,
f-dpz2-miway,https://www.miapp.ca/GTFS/google_transit.zip?#,CA,CA-ON,Mississauga,MiWay,o-dpz2-miway,miway,,,,,,
f-drs-crtransit~vt~us,http://data.trilliumtransit.com/gtfs/crtransit-vt-us/crtransit-vt-us.zip,US,US-VT,Rockingham,The Current,o-drs-thecurrent,the-current,,,,,,
f-9qc-eldoradotransit~ca~us,http://data.trilliumtransit.com/gtfs/eldoradotransit-ca-us/eldoradotransit-ca-us.zip,US,US-CA,Sacramento,El Dorado Transit,o-9qc-eldoradotransit,el-dorado-transit,,,,,,
f-dnwe-pulaski~va~us,http://data.trilliumtransit.com/gtfs/pulaski-va-us/pulaski-va-us.zip,US,US-VA,Pulaski,Pulaski Area Transit,o-dnwe-pulaskiareatransit,pulaski-area-transit,,,,,,
f-c20ep-swanisland~or~us,http://oregon-gtfs.com/gtfs_data/swanisland-or-us/swanisland-or-us.zip,US,US-OR,Portland,Swan Island TMA,o-c20ep-swanislandtma,swan-island-tma,,,,,,
f-9mu-orangecountytransportationauthority,http://www.octa.net/current/google_transit.zip,US,US-CA,Orange County,Orange County Transportation Authority,o-9mu-orangecountytransportationauthority,orange-county-transportation-authority,,,,,,
f-9yzg-metrostlouis,ftp://metrostlouis.org/Transit/google_transit.zip,US,US-MO,St. Louis,Metro St. Louis,o-9yzg-metrostlouis,metro-st-louis,,,,,,
f-9v6-capitalmetro,https://data.texas.gov/download/r4v4-vz24/application/zip,US,US-TX,Austin,Capital Metro,o-9v6-capitalmetro,capital-metro,,,,,,
f-drk-wwwshorelineeastcom,http://www.shorelineeast.com/google_transit.zip,US,US-CT,New Haven,Shore Line East,o-drk-shorelineeast,shore-line-east,,,,,,
f-ezwg-transportsciutatcomtal,http://86.109.125.18:88/gt/google_transit.zip,ES,ES-NC,Pamplona,Transports Ciutat Comtal,o-ezwg-transportsciutatcomtal,transports-ciutat-comtal,,,,,,
f-dnx-roanoke~va~us,http://data.trilliumtransit.com/gtfs/roanoke-va-us/roanoke-va-us.zip,US,US-VA,Roanoke,Valley Metro,o-dnx-radartransit,radar-transit,,,,,,
f-9qd-fresnocounty~ca~us,http://data.trilliumtransit.com/gtfs/fresnocounty-ca-us/fresnocounty-ca-us.zip,US,US-CA,Fresno County,Fresno County Rural Transit Agency,o-9qd-fresnocountyruraltransitagency,fresno-county-rural-transit-agency,,,,,,
f-dppc-alleganycountytransit,http://mdtrip.org/googletransit/Allegany/google_transit.zip,US,US-MD,Cumberland,Allegany County Transit,o-dppc-alleganycountytransit,allegany-county-transit,,,,,,
f-f24-octranspo,http://www.octranspo1.com/files/google_transit.zip,CA,CA-ON,Ottawa,OC Transpo,o-f24-octranspo,oc-transpo,,,,,,
f-dr63-monroecountytransitauthority,http://www.gomcta.com/google_transit.zip,US,US-PA,East Stroudsburg,Monroe County Transit Authority,o-dr63-monroecountytransitauthority,monroe-county-transit-authority,,,,,,
