feed_onestop_id,feed_url,operator_country,operator_state,operator_metro,operator_name,operator_onestop_id
f-c20g-c~tran,http://www.c-tran.com/images/Google/GoogleTransitUpload.zip,US,US-WA,Vancouver,C-TRAN,o-c20g-c~tran
f-9qbb-marintransit,http://www.marintransit.org/data/google_transit.zip,US,US-CA,Marin County,Marin County Transit District,o-9qbb-marintransit
f-dpz2-miway,https://www.miapp.ca/GTFS/google_transit.zip?#,CA,CA-ON,Mississauga,MiWay,o-dpz2-miway
f-ezjm-consorcioregionaldetransportesdemadrid,http://crtm.maps.arcgis.com/sharing/rest/content/items/aaed26cc0ff64b0c947ac0bc3e033196/data,ES,ES-M,Madrid,Consorcio Regional de Transportes de Madrid (CRTM),o-ezjm-consorcioregionaldetransportesdemadrid
f-9rb-valleyretriever~or~us,http://oregon-gtfs.com/gtfs_data/valleyretriever-or-us/valleyretriever-or-us.zip,US,US-OR,Newport,Valley Retriever,o-9rb-valleyretriever
f-udf-r~kioski~koivistonautooy~lehtimÃ_enliikenneoy~jÃ_rvisenliike,http://dev.hsl.fi/gtfs.waltti/lahti.zip,FI,FI-16,"Lahti, Heinola","R-Kioski, Koiviston Auto, LehtimÃ_en Liikenne, JÃ_rvisen Liikenne, Bus Travel Oy Reissu Ruoti, Matkahuolto","o-udf-r~kioski, o-udf4-koivistonautooy, o-udf-lehtimÃ_enliikenneoy, o-udfm-jÃ_rvisenliikenneoy, o-udf5-bustraveloyreissuruoti, o-udf6bh-matkahuoltooy"
f-u20f-actvspa,http://actv.avmspa.it/sites/default/files/attachments/opendata/navigazione/actv_nav.zip,IT,IT-34,Venice,Azienda Veneziana della MobilitÃ ,o-u20-actvspa
f-dpz8-ttc,http://opendata.toronto.ca/TTC/routes/OpenData_TTC_Schedules.zip,CA,CA-ON,Toronto,Toronto Transit Comission,o-dpz8-ttc
f-drs-crtransit~vt~us,http://data.trilliumtransit.com/gtfs/crtransit-vt-us/crtransit-vt-us.zip,US,US-VT,Rockingham,The Current,o-drs-thecurrent
f-9qc-eldoradotransit~ca~us,http://data.trilliumtransit.com/gtfs/eldoradotransit-ca-us/eldoradotransit-ca-us.zip,US,US-CA,Sacramento,El Dorado Transit,o-9qc-eldoradotransit
f-dnwe-pulaski~va~us,http://data.trilliumtransit.com/gtfs/pulaski-va-us/pulaski-va-us.zip,US,US-VA,Pulaski,Pulaski Area Transit,o-dnwe-pulaskiareatransit
f-gc7-wexfordbus,http://www.transportforireland.ie/transitData/google_transit_wexfordbus.zip,IE,IE-L,Wexford,Wexford Bus,o-gc7-wexfordbus
f-dp4j-citybus,http://myride.gocitybus.com/public/laf/google/google_transit.zip,US,US-IN,Lafayette,CityBus of Greater Lafayette Indiana,o-dp4j-citybus
f-gce-collinscoaches,http://www.transportforireland.ie/transitData/google_transit_collins.zip,IE,IE-U,Ballybay,Collins Coaches,o-gce-collinscoaches
f-dpx-wwwnftacom,http://www.nfta.com/metro/__googletransit/google_transit.zip,US,US-NY,Buffalo,Niagara Frontier Transportation Authority,o-dpx-nfta~metro
f-s-anm~it,http://www.anm.it/google/google-transit.zip,IT,IT-72,Naples,Azienda Napoletana MobilitÃ ,o-s-aziendanapoletanamobilit
f-c20ep-swanisland~or~us,http://oregon-gtfs.com/gtfs_data/swanisland-or-us/swanisland-or-us.zip,US,US-OR,Portland,Swan Island TMA,o-c20ep-swanislandtma
f-9mu-orangecountytransportationauthority,http://www.octa.net/current/google_transit.zip,US,US-CA,Orange County,Orange County Transportation Authority,o-9mu-orangecountytransportationauthority
f-9yzg-metrostlouis,ftp://metrostlouis.org/Transit/google_transit.zip,US,US-MO,St. Louis,Metro St. Louis,o-9yzg-metrostlouis
f-9tsk-sunmetro,http://transit.sunmetro.net/google_transit/google_transit.zip,US,US-TX,El Paso,Sun Metro,o-9tsk-sunmetro
f-9v6-capitalmetro,https://data.texas.gov/download/r4v4-vz24/application/zip,US,US-TX,Austin,Capital Metro,o-9v6-capitalmetro
f-dq2s-tarriver~nc~us,http://data.trilliumtransit.com/gtfs/tarriver-nc-us/tarriver-nc-us.zip,US,US-NC,Rocky Mount,Tar River Transit,o-dq2s-tarrivertransit
f-s-ulysse~01,http://tsvc.pilote3.cityway.fr/api/Export/v1/GetExportedDataFile?ExportFormat=Gtfs&OperatorCode=SANPROVENCE,FR,FR-13,Martigues,Ulysse,o-s-ulysse
f-u-ruterbuss~ruterbÃ¥t~rutertrikk~rutertbane~buss~tog~bÃ¥t~flytog,https://github.com/RuterNo/open-data/blob/master/gtfs.zip?raw=true,NO,NO-03,,"RuterBuss, RuterBÃ¥t, RuterTrikk, RuterTBane, Buss, Tog, BÃ¥t, Flytog, Flybuss","o-u4x-ruterbuss, o-u4x-ruterbÃ¥t, o-u4xs-rutertrikk, o-u4xs-rutertbane, o-u-buss, o-u4-tog, o-u4-bÃ¥t, o-u4x-flytog, o-u4x-flybuss"
f-drk-wwwshorelineeastcom,http://www.shorelineeast.com/google_transit.zip,US,US-CT,New Haven,Shore Line East,o-drk-shorelineeast
f-gc3x-citydirect,http://www.transportforireland.ie/transitData/google_transit_citydirect.zip,IE,IE-C,Galway,City Direct,o-gc3x-citydirect
f-f256-citlapresquÃ®le,http://www.rtm.quebec/xdata/citpi/google_transit.zip,CA,CA-QC,Montreal,CIT La Presqu'Ã®le,o-f256-citlapresquÃ®le
f-ezwg-transportsciutatcomtal,http://86.109.125.18:88/gt/google_transit.zip,ES,ES-NC,Pamplona,Transports Ciutat Comtal,o-ezwg-transportsciutatcomtal
