feed_onestop_id	feed_url	operator_country	operator_state	operator_metro	operator_name	operator_onestop_id	gtfs_data_exchange
f-9qf-amador~ca~us	http://data.trilliumtransit.com/gtfs/amador-ca-us/amador-ca-us.zip	US	US-CA	Amador County	Amador Transit	o-9qf-amadortransit	amador-transit
f-9q7-getbus	http://www.getbus.org/googletransit/google_transit.zip	US	US-CA	Bakersfield	Golden Empire Transit District	o-9q7-goldenempiretransitdistrict	golden-empire-transit-district
f-9q9p3-datatrilliumtransitcom	http://data.trilliumtransit.com/gtfs/beartransit-ca-us/beartransit-ca-us.zip	US	US-CA	Berkeley	University of California Berkeley Shuttle	o-9q9p3-beartransit~ucberkeleyshuttle	bear-transit-uc-berkeley-shuttle
f-9q-easternsierra~ca~us	http://data.trilliumtransit.com/gtfs/easternsierra-ca-us/easternsierra-ca-us.zip	US	US-CA	Bishop	Eastern Sierra Transit Authority	o-9q-easternsierratransitauthority	eastern-sierra-transit-authority
f-9q5f7-burbankbus	http://gis.burbankca.gov/files/gtfs/google_transit.zip	US	US-CA	Burbank	Burbank Bus	o-9q5f7-burbankbus	
f-9qf-calaveras~ca~us	http://data.trilliumtransit.com/gtfs/calaveras-ca-us/calaveras-ca-us.zip	US	US-CA	Calaveras County	Calaveras Transit	o-9qf-calaverastransit	calaveras-transit
f-9q5c-cityofcommercemunicipalbuslines	http://citycommbus.com/gtfs	US	US-CA	Commerce	City of Commerce Municipal Bus Lines	o-9q5c-cityofcommercemunicipalbuslines	
f-9q5c-culvercitybus	http://www.culvercity.org/home/showdocument?id=5747	US	US-CA	Culver City	Culver CityBus	o-9q5c-culvercitybus	
f-9qc7-unitransdavis	http://iportal.sacrt.com/GTFS/Unitrans/google_transit.zip	US	US-CA	Davis	Unitrans	o-9qc7-unitransdavis	unitrans-davis
f-9pr-delnorte~ca~us	http://data.trilliumtransit.com/gtfs/delnorte-ca-us/delnorte-ca-us.zip	US	US-CA	Del Norte County	Redwood Coast Transit	o-9pr-redwoodcoasttransit	redwood-coast-transit
f-9qh45-duartetransit~ca~us	http://data.trilliumtransit.com/gtfs/duartetransit-ca-us/duartetransit-ca-us.zip	US	US-CA	Duarte	Duarte Transit	o-9qh45-duartetransit	
f-9qcd-etranelkgrove	http://iportal.sacrt.com/gtfs/e-tran/google_transit.zip	US	US-CA	Elk Grove	etran	o-9qcd-etranelkgrove	
f-9qcg-folsomstagelines	http://iportal.sacrt.com/gtfs/FSL/google_transit.zip	US	US-CA	Folsom	Folsom Stage Line	o-9qcg-folsomstagelines	
f-9qdc-gis4ufresnogov	http://gis4u.fresno.gov/downloads/fax_gtfs.zip	US	US-CA	Fresno	Fresno Area Express	o-9qdc-fresnopublictransportationfax	
f-9qd-fresnocounty~ca~us	http://data.trilliumtransit.com/gtfs/fresnocounty-ca-us/fresnocounty-ca-us.zip	US	US-CA	Fresno County	Fresno County Rural Transit Agency	o-9qd-fresnocountyruraltransitagency	fresno-county-rural-transit-agency
f-9q5f-glendalebeeline	http://glendaleca.gov/Home/ShowDocument?id=29549	US	US-CA	Glendale	Glendale Beeline	o-9q5f-glendalebeeline	glendale-beeline
f-9pp-humboldtcounty~ca~us	http://data.trilliumtransit.com/gtfs/humboldtcounty-ca-us/humboldtcounty-ca-us.zip	US	US-CA	Humboldt County	"Redwood Transit System, Eureka Transit Service, Arcata & Mad River Transit System"	"o-9pp-redwoodtransitsystem, o-9pr8n-eurekatransitservice, o-9prb8-arcata~madrivertransitsystem"	redwood-transit-system
f-9q7-kerncounty~ca~us	http://data.trilliumtransit.com/gtfs/kerncounty-ca-us/kerncounty-ca-us.zip	US	US-CA	Kern County	Kern Transit	o-9q7-kerntransit	kern-transit
f-9qb-laketransit~ca~us	http://data.trilliumtransit.com/gtfs/lakecounty-oh-us/lakecounty-oh-us.zip	US	US-CA	Lake County	Lake Transit	o-9qb-laketransit	lake-transit
f-9r4-lassen~ca~us	http://data.trilliumtransit.com/gtfs/lassen-ca-us/lassen-ca-us.zip	US	US-CA	Lassen County	Lassen Rural Bus	o-9r4-lassenruralbus	lassen-rural-bus
f-9q9q-wheelsbus	http://www.wheelsbus.com/wp-content/themes/enfold-child/pdf/google_transit.zip	US	US-CA	Livermore	Livermore Amador Valley Transit Authority	o-9q9q-wheelsbus	
f-9qcbb-cityofloditransit~grapeline	http://www.lodi.gov/transit/GTFS/lodi_GTFS.zip	US	US-CA	Lodi	City of Lodi Transit	o-9qcbb-cityofloditransit~grapeline	city-of-lodi-transitgrapeline
f-9qh0-anaheim~ca~us	http://data.trilliumtransit.com/gtfs/anaheim-ca-us/anaheim-ca-us.zip	US	US-CA	Los Angeles	Anaheim Resort Transportation	o-9qh0-anaheimresorttransportation	anaheim-resort-transportation
f-9qh-metrolinktrains	http://www.metrolinktrains.com/content/google_transit.zip	US	US-CA	Los Angeles	Metrolink	o-9qh-metrolinktrains	metrolink
f-9qh2s-corona~ca~us	http://data.trilliumtransit.com/gtfs/corona-ca-us/corona-ca-us.zip	US	US-CA	Los Angeles	Corona Cruiser	o-9qh2s-coronacruiser	corona-cruiser
f-9q5-metro~losangeles~rail	https://gitlab.com/LACMTA/gtfs_rail/raw/master/gtfs_rail.zip	US	US-CA	Los Angeles	Los Angeles County Metropolitan Transportation Authority	o-9q5-metro~losangeles	la-metro
f-9myr-paloverdevalley~ca~us	http://data.trilliumtransit.com/gtfs/paloverde_valley-ca-us/paloverde_valley-ca-us.zip	US	US-CA	Los Angeles	Palo Verde Valley Transit Agency	o-9myr-paloverdevalleytransitagency	palo-verde-valley-transit-agency
f-9q5b4-pvpta~ca~us	http://data.trilliumtransit.com/gtfs/pvpta-ca-us/pvpta-ca-us.zip	US	US-CA	Los Angeles	Palos Verdes Peninsula Transit Authority	o-9q5b4-palosverdespeninsulatransitauthority	palos-verdes-peninsula-transit-authority
f-9qhc-beaumont~ca~us	http://data.trilliumtransit.com/gtfs/beaumont-ca-us/beaumont-ca-us.zip	US	US-CA	Los Angeles	Beaumont Transit System	o-9qhc-beaumonttransitsystem	beaumont-pass-transit
f-9q5b-longbeachtransit	https://lbtransit.box.com/shared/static/a29r6bewfz8xnxjyd9w16orcz4d0zect.zip	US	US-CA	Los Angeles	Long Beach Transit	o-9q5b-longbeachtransit	long-beach-transit
f-9qh1-foothilltransit	http://foothilltransit.org/gtfs/foothilltransit-ca-us.zip	US	US-CA	Los Angeles	Foothill Transit	o-9qh1-foothilltransit	foothill-transit
f-9q5-metro~losangeles	https://gitlab.com/LACMTA/gtfs_bus/raw/master/gtfs_bus.zip	US	US-CA	Los Angeles	Los Angeles County Metropolitan Transportation Authority	o-9q5-metro~losangeles	
f-9q5-ladot	http://lacitydot.com/gtfs/administrator/gtfszip/ladotgtfs.zip	US	US-CA	Los Angeles	Los Angeles Department of Transportation	o-9q5-ladot	
f-9q56-thousandoaks~ca~us	http://data.trilliumtransit.com/gtfs/thousandoaks-ca-us/thousandoaks-ca-us.zip	US	US-CA	Los Angeles	Thousand Oaks Transit	o-9q56-thousandoakstransit	thousand-oaks-transit
f-9muq-lagunabeach~ca~us	http://data.trilliumtransit.com/gtfs/lagunabeach-ca-us/lagunabeach-ca-us.zip	US	US-CA	Los Angeles	Laguna Beach Transit	o-9muq-lagunabeachtransit	laguna-beach-transit
f-9q5b-torrancetransit	https://transit.torranceca.gov/home/showdocument?id=16673	US	US-CA	Los Angeles	Torrance Transit	o-9q5b-torrancetransit	torrance-transit
f-9qd-madera~ca~us	http://data.trilliumtransit.com/gtfs/madera-ca-us/madera-ca-us.zip	US	US-CA	Madera County	"Madera Area Express, Madera County Connection"	"o-9qdd7-maderaareaexpress, o-9qd-maderacountyconnection"	madera-area-express
